Hour,Day_Num,Month,Is_Weekend,Crime_Severity_Score,Latitude,Longitude,District,Ward,Beat,Community Area,Arrest,Domestic,Primary Type,Is_Night,TSNE1,TSNE2,Time_Period
22,5,8,1,6,41.897017616,-87.737188833,11,37,1111,23,0,0,BATTERY,1,2.733805,7.78425,Night (8PM-6AM)
3,0,5,0,6,41.710682805,-87.634332837,22,9,2232,73,1,1,BATTERY,1,-3.5462918,2.6477613,Night (8PM-6AM)
20,2,3,0,5,41.753204151,-87.73040747,8,18,833,65,0,0,MOTOR VEHICLE THEFT,1,-4.000622,-2.0514932,Night (8PM-6AM)
12,4,5,0,6,41.907153315,-87.639680572,18,27,1821,8,1,1,BATTERY,0,0.8606411,1.4687546,Day (6AM-8PM)
18,5,4,1,6,41.979198064,-87.842527119,16,41,1614,76,0,0,ASSAULT,0,5.3769374,3.4178946,Day (6AM-8PM)
12,0,9,0,3,41.669775116,-87.624812741,5,9,523,53,0,0,DECEPTIVE PRACTICE,0,-5.11776,-9.380549,Day (6AM-8PM)
3,1,1,0,5,41.877955457,-87.646668378,12,34,1232,28,0,0,MOTOR VEHICLE THEFT,1,2.8529549,-6.6920686,Night (8PM-6AM)
8,5,9,1,3,41.72169846,-87.625359863,5,9,511,49,0,0,THEFT,0,-3.2139,11.869614,Day (6AM-8PM)
10,4,8,0,6,41.875041569,-87.743543377,11,24,1131,25,0,1,BATTERY,0,9.731567,1.4258307,Day (6AM-8PM)
2,4,3,0,4,41.947317986,-87.649787936,19,44,1923,6,1,0,PROSTITUTION,1,3.4291062,1.0777719,Night (8PM-6AM)
13,6,4,1,3,41.706987456,-87.620244029,5,9,512,49,1,0,THEFT,0,-2.1517494,5.306435,Day (6AM-8PM)
19,3,5,0,3,41.916156876,-87.72897168,25,26,2534,20,0,0,CRIMINAL DAMAGE,0,13.591301,1.682045,Day (6AM-8PM)
16,2,9,0,3,41.878222138,-87.627288482,1,4,113,32,0,0,THEFT,0,-9.399412,-9.4930525,Day (6AM-8PM)
22,2,12,0,3,41.896252678,-87.709931118,11,27,1121,23,0,0,THEFT,1,3.1772742,-12.65013,Night (8PM-6AM)
8,5,6,1,4,41.75620682,-87.604086489,6,8,624,69,1,0,NARCOTICS,0,-1.7875476,5.0672917,Day (6AM-8PM)
0,4,5,0,6,41.874885305,-87.737725014,11,28,1131,26,0,0,BATTERY,1,2.9479568,-6.516306,Night (8PM-6AM)
18,1,7,0,5,41.859961164,-87.643421258,12,25,1235,31,0,0,BURGLARY,0,0.81046396,-3.606156,Day (6AM-8PM)
13,5,11,1,5,41.821139667,-87.615027716,2,3,214,38,0,0,MOTOR VEHICLE THEFT,0,-3.6562479,7.1826515,Day (6AM-8PM)
10,2,7,0,7,41.760373492,-87.662785988,7,17,734,67,0,0,SEX OFFENSE,0,-6.0081635,-3.2326357,Day (6AM-8PM)
12,1,6,0,6,41.778665283,-87.662965763,7,16,725,67,0,0,ASSAULT,0,-5.9478116,-2.9791107,Day (6AM-8PM)
21,1,3,0,5,41.987560738,-87.696869688,20,40,2011,2,0,0,MOTOR VEHICLE THEFT,1,7.55808,-0.88188446,Night (8PM-6AM)
8,6,3,1,3,41.983681243,-87.712551032,17,39,1711,13,0,0,DECEPTIVE PRACTICE,0,5.429262,10.428057,Day (6AM-8PM)
1,0,9,0,6,41.767993447,-87.574821838,3,5,331,43,0,1,BATTERY,1,-10.395485,1.589735,Night (8PM-6AM)
20,2,11,0,7,41.750359245,-87.607637789,6,6,624,44,0,1,ROBBERY,1,-11.743018,2.9334831,Night (8PM-6AM)
19,2,5,0,6,41.68946297,-87.531667685,4,10,433,52,0,0,ASSAULT,0,-9.019946,-0.87783825,Day (6AM-8PM)
15,6,8,1,5,41.660392338,-87.58879926,4,10,434,55,0,0,MOTOR VEHICLE THEFT,0,-5.6149244,6.84667,Day (6AM-8PM)
23,1,7,0,5,41.702731411,-87.534769368,4,10,432,52,0,0,BURGLARY,1,-9.344604,-0.78568906,Night (8PM-6AM)
2,3,6,0,3,41.780439401,-87.603727666,3,20,313,42,0,0,CRIMINAL DAMAGE,1,-7.4705467,-6.4008684,Night (8PM-6AM)
5,0,8,0,6,41.762756443,-87.628101254,7,6,731,69,1,1,BATTERY,1,-1.423975,1.7721214,Night (8PM-6AM)
9,4,4,0,6,41.746130093,-87.682755208,8,18,835,70,0,0,ASSAULT,0,-5.669865,-3.6316564,Day (6AM-8PM)
21,0,9,0,3,41.807101267,-87.586402447,2,5,222,39,0,0,THEFT,1,-8.790823,-9.9972,Night (8PM-6AM)
