Latitude,Longitude,Arrest,Primary Type,KMeans_Geo,DBSCAN_Geo,Hierarchical_Geo
41.748736624,-87.649575313,0,CRIMINAL DAMAGE,6,0,5
41.694047479,-87.653215849,0,CRIMINAL SEXUAL ASSAULT,6,0,5
41.881183782,-87.76322108,0,BATTERY,3,0,1
41.818092124,-87.63980609,1,NARCOTICS,2,0,3
41.727179162,-87.554970485,0,WEAPONS VIOLATION,5,0,7
41.960715124,-87.74810361,1,BATTERY,3,0,4
41.89798354,-87.716397338,0,THEFT,1,0,1
41.866331725,-87.666379171,1,THEFT,0,0,6
41.775493298,-87.649533153,1,NARCOTICS,2,0,0
41.750940757,-87.625185222,0,DECEPTIVE PRACTICE,2,0,3
41.762905014,-87.681123287,0,BURGLARY,7,0,0
41.963485646,-87.708320154,0,SEX OFFENSE,4,0,1
41.947551092,-87.700502665,0,ROBBERY,4,0,1
41.894782381,-87.634712752,0,DECEPTIVE PRACTICE,0,0,6
41.876065157,-87.714338972,0,ASSAULT,1,0,1
41.882103874,-87.684752469,0,ASSAULT,1,0,1
41.808963876,-87.674640742,0,BATTERY,7,0,0
41.764632089,-87.628311641,0,BATTERY,2,0,3
41.868385458,-87.639229711,1,THEFT,0,0,6
41.933177432,-87.644801107,0,THEFT,0,0,2
41.967888262,-87.662765284,0,DECEPTIVE PRACTICE,4,0,2
41.771973284,-87.628344899,0,DECEPTIVE PRACTICE,2,0,3
41.688218178,-87.537357913,0,ASSAULT,5,0,7
41.960148887,-87.637286142,0,OTHER OFFENSE,4,0,2
41.801685553,-87.740548938,0,BATTERY,7,0,0
41.692557138,-87.667243735,0,OTHER OFFENSE,6,0,5
41.95407735,-87.741771183,0,BURGLARY,3,0,1
41.89200307,-87.628076963,0,BURGLARY,0,0,6
41.73982961,-87.60248374,0,MOTOR VEHICLE THEFT,5,0,3
41.758171863,-87.560038788,0,BATTERY,5,0,7
41.866706758,-87.679581027,1,NARCOTICS,1,0,1
41.852540618,-87.728095368,0,ASSAULT,1,0,1
41.754270987,-87.64482916,1,OTHER OFFENSE,6,0,5
41.782042682,-87.699566163,0,DECEPTIVE PRACTICE,7,0,0
41.91730015,-87.650909345,0,CRIMINAL DAMAGE,0,0,2
41.820825241,-87.702617793,0,THEFT,7,0,0
41.917351505,-87.648472787,0,THEFT,0,0,2
41.923573501,-87.798465352,1,CRIMINAL TRESPASS,3,0,4
41.758739665,-87.58908565,1,ASSAULT,5,0,7
41.970631066,-87.659713788,0,MOTOR VEHICLE THEFT,4,0,2
41.763599226,-87.630386588,0,CRIMINAL DAMAGE,2,0,3
41.975370278,-87.744023432,1,THEFT,3,0,4
41.824446014,-87.7028134,0,BATTERY,7,0,0
41.973168602,-87.668038498,0,THEFT,4,0,2
41.930286342,-87.64364886,1,ROBBERY,0,0,2
41.889994758,-87.633086519,0,THEFT,0,0,6
41.8142402,-87.61672621,0,ASSAULT,2,0,3
41.870028132,-87.708823855,0,BATTERY,1,0,1
41.747224829,-87.708421379,0,CRIMINAL DAMAGE,7,0,0
41.974861952,-87.890372151,0,BATTERY,3,1,4
41.92561788,-87.710788154,0,OTHER OFFENSE,1,0,1
41.812244589,-87.604430616,0,BATTERY,2,0,3
41.91007391,-87.653106106,0,THEFT,0,0,6
41.769735114,-87.645745232,1,NARCOTICS,2,0,0
41.841752071,-87.734215686,0,THEFT,1,0,1
41.891678767,-87.627551654,0,MOTOR VEHICLE THEFT,0,0,6
41.808765177,-87.611435608,0,CRIMINAL DAMAGE,2,0,3
41.758365623,-87.561509844,0,CRIMINAL DAMAGE,5,0,7
41.930049492,-87.685920733,0,BURGLARY,4,0,2
41.935181001,-87.806648735,0,BATTERY,3,0,4
41.749574714,-87.557704997,0,ASSAULT,5,0,7
41.812648944,-87.723764707,0,ROBBERY,7,0,0
41.914055338,-87.633396724,0,DECEPTIVE PRACTICE,0,0,6
41.878521427,-87.751101417,0,THEFT,1,0,1
41.899170248,-87.626613316,0,THEFT,0,0,6
41.757424249,-87.631234642,0,BURGLARY,2,0,3
41.80984447,-87.633740034,0,ROBBERY,2,0,3
41.979251257,-87.668298831,1,THEFT,4,0,2
41.889533559,-87.749374451,1,NARCOTICS,1,0,1
41.682107327,-87.654220191,0,WEAPONS VIOLATION,6,0,5
41.936594317,-87.72711383,0,CRIMINAL DAMAGE,1,0,1
41.815241927,-87.684616785,1,OTHER OFFENSE,7,0,0
41.88472512,-87.626254732,0,THEFT,0,0,6
41.782952971,-87.613265165,0,BATTERY,2,0,3
41.877470199,-87.678222877,1,BATTERY,0,0,1
41.87813609,-87.632055653,1,BATTERY,0,0,6
41.818339565,-87.698250915,0,BATTERY,7,0,0
41.771117937,-87.693185122,0,BATTERY,7,0,0
41.764344512,-87.575385315,0,CRIMINAL DAMAGE,5,0,7
41.875227028,-87.686254009,0,ROBBERY,1,0,1
41.895539906,-87.708046466,1,NARCOTICS,1,0,1
41.662759556,-87.635411324,0,DECEPTIVE PRACTICE,6,0,5
