Latitude,Longitude,Arrest,Primary Type,KMeans_Geo,DBSCAN_Geo,Hierarchical_Geo
41.900228277,-87.772018116,0,THEFT,3,0,1
41.79389192,-87.648303487,0,BATTERY,2,0,0
41.983670812,-87.657262868,0,THEFT,4,0,2
41.652705358,-87.549574035,0,MOTOR VEHICLE THEFT,5,0,7
41.909498816,-87.756066167,0,ASSAULT,3,0,1
41.866810739,-87.625817031,0,BATTERY,0,0,6
41.655105668,-87.6023153,0,DECEPTIVE PRACTICE,6,0,5
41.985665652,-87.712616352,1,BATTERY,4,0,1
41.935419098,-87.788281442,0,MOTOR VEHICLE THEFT,3,0,4
41.830318923,-87.610166099,0,BATTERY,2,0,3
41.767829041,-87.671179742,0,BATTERY,7,0,0
41.874193118,-87.738131662,0,ASSAULT,1,0,1
41.742203072,-87.72019926,0,MOTOR VEHICLE THEFT,7,0,0
41.790050907,-87.653551445,0,ASSAULT,2,0,0
41.774419127,-87.700579731,1,BATTERY,7,0,0
41.800349143,-87.659893802,0,BURGLARY,2,0,0
41.678237739,-87.68073427,0,THEFT,6,0,5
42.017021006,-87.679059408,0,BATTERY,4,0,2
41.893419066,-87.763508955,0,ROBBERY,3,0,1
41.985157942,-87.893868581,0,OTHER OFFENSE,3,1,4
41.867204467,-87.686055895,0,CRIMINAL DAMAGE,1,0,1
41.764748911,-87.644401916,0,CRIMINAL TRESPASS,2,0,0
41.781576603,-87.615660095,0,MOTOR VEHICLE THEFT,2,0,3
41.909636288,-87.745300725,1,THEFT,1,0,1
41.845341917,-87.713592898,0,ROBBERY,1,0,1
41.867518704,-87.620041508,0,OTHER OFFENSE,0,0,6
41.895140898,-87.624255632,0,THEFT,0,0,6
41.863196881,-87.614817819,1,BATTERY,0,0,6
41.73935254,-87.612983003,0,BATTERY,6,0,3
41.797155614,-87.795373694,0,THEFT,7,0,0
41.886637858,-87.659575931,0,THEFT,0,0,6
41.765879893,-87.654136561,0,BATTERY,6,0,0
41.807067906,-87.603843747,0,BATTERY,2,0,3
41.741788204,-87.558788042,0,CRIMINAL DAMAGE,5,0,7
41.909729783,-87.677444932,0,BATTERY,0,0,2
41.770812178,-87.569902065,1,OTHER OFFENSE,5,0,7
41.767503294,-87.676582612,0,CRIMINAL DAMAGE,7,0,0
41.713390646,-87.647866043,0,DECEPTIVE PRACTICE,6,0,5
41.692092825,-87.612141183,0,THEFT,6,0,5
41.793089824,-87.736190925,0,BATTERY,7,0,0
41.828725972,-87.620498003,0,BATTERY,2,0,3
41.746288473,-87.565271322,0,BATTERY,5,0,7
41.772907566,-87.683470834,0,THEFT,7,0,0
41.866886134,-87.719545371,0,CRIMINAL DAMAGE,1,0,1
41.908452786,-87.765880756,0,THEFT,3,0,1
41.755204004,-87.652651208,0,CRIMINAL SEXUAL ASSAULT,6,0,5
41.938570867,-87.827567256,0,CRIMINAL DAMAGE,3,0,4
41.889906681,-87.624100509,0,THEFT,0,0,6
41.881527708,-87.626194508,1,BATTERY,0,0,6
41.946221444,-87.708253555,0,DECEPTIVE PRACTICE,4,0,1
41.958010544,-87.652747282,0,ASSAULT,4,0,2
41.878591608,-87.728051575,1,NARCOTICS,1,0,1
41.790434083,-87.661306699,1,NARCOTICS,2,0,0
41.871764127,-87.677605569,0,MOTOR VEHICLE THEFT,0,0,1
41.934670929,-87.746720994,1,BATTERY,3,0,1
41.970105766,-87.657649028,0,ASSAULT,4,0,2
41.821092605,-87.68800633,0,DECEPTIVE PRACTICE,7,0,0
41.868219921,-87.664046556,0,OTHER OFFENSE,0,0,6
41.978247133,-87.668342378,0,THEFT,4,0,2
41.867081407,-87.619003708,0,BATTERY,0,0,6
41.730883188,-87.563406932,0,DECEPTIVE PRACTICE,5,0,7
41.850956752,-87.72957847,1,NARCOTICS,1,0,1
41.894577935,-87.713848049,1,NARCOTICS,1,0,1
41.905060471,-87.672419593,0,THEFT,0,0,2
41.911162611,-87.632895617,0,CRIMINAL DAMAGE,0,0,6
41.889934315,-87.637589849,0,BATTERY,0,0,6
41.807866569,-87.593131591,0,CRIMINAL DAMAGE,2,0,3
41.803851632,-87.606443973,1,OTHER OFFENSE,2,0,3
41.924671469,-87.759857617,0,BATTERY,3,0,1
41.955538639,-87.767077208,1,BATTERY,3,0,4
41.843605517,-87.638888383,0,THEFT,0,0,3
41.806914497,-87.604318647,0,BATTERY,2,0,3
41.939315143,-87.70942733,0,THEFT,1,0,1
41.972692694,-87.779450559,0,STALKING,3,0,4
