Hour,Day_Num,Month,Is_Weekend,Is_Night,Crime_Severity_Score,Latitude,Longitude,District,Ward,Beat,Community Area,Arrest,Domestic,PC1,PC2,Primary_Type
14,2,9,0,0,5,41.7515006,-87.585343286,4,8,411,43,0,0,-2.3836030266021937,-0.9405463241881465,THEFT
10,5,3,1,0,4,41.769683848,-87.666376817,7,17,725,67,0,0,-1.4947369448067866,1.650396655256031,WEAPONS VIOLATION
19,5,7,1,0,3,41.932759488,-87.668407152,19,32,1932,6,0,0,2.310822472124987,1.4276965839556441,NARCOTICS
23,1,5,0,1,6,41.769063592,-87.571484404,3,5,331,43,1,1,-2.778544557095774,-0.7743836538539434,CRIMINAL DAMAGE
7,5,8,1,0,3,41.80859321,-87.665577234,9,15,924,61,1,0,-0.9926828657828783,1.5920710221369998,BATTERY
15,0,1,0,0,2,41.907056567,-87.634586291,18,2,1821,8,0,0,0.9263357876818339,-1.7954927185018525,BATTERY
2,3,11,0,1,7,41.977162203,-87.657835554,20,48,2023,77,0,0,1.7479963675261432,-0.006274974301533955,NARCOTICS
21,5,6,1,1,3,41.913193235,-87.648344566,18,2,1813,7,0,0,1.0340984493690588,1.7320028553058915,THEFT
10,2,3,0,0,6,41.878886971,-87.724226209,11,28,1122,26,0,0,0.7726928058354651,-0.7839074377266447,THEFT
1,2,9,0,1,6,41.735684302,-87.608326943,6,8,632,44,0,1,-2.303344523590349,-0.14846451907392313,THEFT
11,0,9,0,0,3,41.969078381,-87.65560801,20,46,2024,3,0,0,2.963433785446404,-1.7358245265222985,BURGLARY
9,1,2,0,0,6,41.754270987,-87.64482916,6,17,621,71,0,1,-2.152417909202931,-0.8635020842835425,MOTOR VEHICLE THEFT
18,5,5,1,0,6,41.881742451,-87.750958339,15,28,1532,25,1,0,1.4961160088319614,1.6668668161680944,BURGLARY
9,5,8,1,0,6,41.92968145,-87.794206521,25,36,2512,18,0,1,3.3963651243098694,2.03136792366566,MOTOR VEHICLE THEFT
10,0,9,0,0,3,41.872307808,-87.742914955,11,24,1131,25,0,0,0.8198930733448824,-1.6777866337134717,MOTOR VEHICLE THEFT
0,0,5,0,1,6,41.89318177,-87.6345943,18,42,1831,8,0,0,1.9127085984085312,-1.0744161874848621,BURGLARY
6,0,11,0,0,3,41.759507932,-87.6597822,7,17,734,67,0,0,-1.6049788990482654,-1.6350538545384752,THEFT
10,2,8,0,0,5,41.701937844,-87.560797155,4,10,434,51,0,0,-2.8234032890578007,-0.8876879032194629,THEFT
18,3,5,0,0,3,41.910457302,-87.678940081,14,32,1434,24,0,0,1.3145142951677673,-0.7576000589701151,OTHER OFFENSE
10,1,1,0,0,3,41.764188634,-87.592295942,3,8,324,43,0,1,-2.491728929068868,-1.0918711194681483,OTHER OFFENSE
3,6,12,1,1,3,41.812505323,-87.604434996,2,4,221,39,0,0,-2.19248293461347,2.2622053853800774,ASSAULT
12,1,8,0,0,3,41.809518931,-87.607370281,2,4,223,38,0,0,-2.191759452282804,-1.38572321625601,BATTERY
6,1,1,0,0,6,41.682627045,-87.674195589,22,19,2212,75,0,0,-0.17983689453267096,-1.0275813873219977,MOTOR VEHICLE THEFT
10,3,8,0,0,2,41.893285756,-87.656538409,12,27,1214,24,0,1,0.5444901294992153,-0.4975898621073217,OTHER OFFENSE
7,2,3,0,0,3,41.737496318,-87.587861731,4,8,412,45,1,0,-2.3951461302204082,-0.9671068141445127,BURGLARY
4,0,8,0,1,5,41.741526601,-87.705713833,8,18,834,70,0,0,-1.4032207145411075,-1.1389193319356727,THEFT
13,3,8,0,0,3,41.753792523,-87.728005128,8,18,833,65,0,0,-1.0446969906349026,-0.6605842595859216,OTHER OFFENSE
1,0,4,0,1,5,41.802604981,-87.676968822,9,15,931,61,1,0,-1.067538837158955,-1.11141741301356,ASSAULT
9,3,3,0,0,3,41.848930483,-87.690457331,10,25,1034,30,0,0,0.2603854842322239,-0.6278735067838795,THEFT
10,2,11,0,0,3,41.794406612,-87.583931489,2,5,235,41,0,0,-2.4116691545735454,-1.034334695559711,THEFT
22,4,6,0,1,6,41.834086398,-87.64860894,9,11,913,60,0,1,-1.364991855673961,0.2985629513893315,CRIMINAL DAMAGE
16,1,3,0,0,3,42.003537812,-87.671224782,24,49,2432,1,0,0,3.8721682645260995,-1.428484013091673,BATTERY
6,5,3,1,0,6,41.938090593,-87.708807095,14,35,1412,21,1,1,1.513950681050351,2.038999277808387,BATTERY
