Latitude,Longitude,Arrest,Primary Type,KMeans_Geo,DBSCAN_Geo,Hierarchical_Geo,Crime_Severity_Score
41.790745458,-87.593200253,0,THEFT,2,0,3,3
41.960493543,-87.710676751,0,BATTERY,4,0,1,6
41.903603648,-87.677268862,0,THEFT,0,0,2,3
41.754592961,-87.741528537,0,THEFT,7,0,0,3
41.774419127,-87.700579731,1,BATTERY,7,0,0,6
41.903077492,-87.683673325,0,BATTERY,1,0,2,6
41.924277399,-87.636526022,0,CRIMINAL DAMAGE,0,0,2,3
41.782132982,-87.702010828,0,STALKING,7,0,0,6
41.725030227,-87.649863356,1,CRIMINAL DAMAGE,6,0,5,3
41.767908748,-87.680794016,1,NARCOTICS,7,0,0,4
41.784514852,-87.653411928,0,ASSAULT,2,0,0,6
41.861407008,-87.658133845,0,MOTOR VEHICLE THEFT,0,0,6,5
41.851044582,-87.691129874,0,CRIMINAL SEXUAL ASSAULT,1,0,1,8
41.858177245,-87.72860019,0,ARSON,1,0,1,7
41.887902159,-87.636903101,0,THEFT,0,0,6,3
41.764767468,-87.624890245,0,ARSON,2,0,3,7
41.873845465,-87.763183491,0,ASSAULT,3,0,1,6
41.856581054,-87.719985296,1,ASSAULT,1,0,1,6
41.901170711,-87.771693958,0,THEFT,3,0,1,3
41.743240897,-87.603797174,0,THEFT,5,0,3,3
41.883216931,-87.628673023,0,THEFT,0,0,6,3
41.953885576,-87.65453007,0,THEFT,4,0,2,3
41.760081493,-87.561203395,1,CRIMINAL TRESPASS,5,0,7,3
41.975469804,-87.734093075,1,THEFT,3,0,1,3
41.886850504,-87.620700551,1,NARCOTICS,0,0,6,4
41.872145726,-87.722935381,1,BATTERY,1,0,1,6
41.858649552,-87.695675409,0,BATTERY,1,0,1,6
41.854587258,-87.732165161,1,NARCOTICS,1,0,1,4
41.692833841,-87.60431945,0,THEFT,6,0,5,3
41.800776752,-87.657472405,0,MOTOR VEHICLE THEFT,2,0,0,5
41.980791917,-87.666134923,0,DECEPTIVE PRACTICE,4,0,2,3
41.86514333,-87.732481131,0,CRIMINAL DAMAGE,1,0,1,3
41.750617628,-87.645630459,0,ASSAULT,6,0,5,6
41.703496822,-87.625149423,0,CRIMINAL DAMAGE,6,0,5,3
41.953403504,-87.748438872,0,CRIMINAL DAMAGE,3,0,4,3
41.931574051,-87.711516699,0,THEFT,1,0,1,3
41.749982305,-87.644024788,0,MOTOR VEHICLE THEFT,6,0,5,5
41.89962607,-87.672754798,0,ASSAULT,0,0,2,6
41.976847046,-87.842706989,0,BURGLARY,3,0,4,5
41.877726094,-87.628737019,0,DECEPTIVE PRACTICE,0,0,6,3
41.874498877,-87.713957534,0,DECEPTIVE PRACTICE,1,0,1,3
41.777984888,-87.739832354,0,BATTERY,7,0,0,6
41.883173608,-87.741570031,0,DECEPTIVE PRACTICE,1,0,1,3
41.763504118,-87.695449074,0,BATTERY,7,0,0,6
41.839991916,-87.72565211,0,BATTERY,1,0,1,6
41.930946496,-87.788962647,0,THEFT,3,0,4,3
41.717775119,-87.614037164,1,NARCOTICS,6,0,3,4
41.757234418,-87.650276775,0,THEFT,6,0,5,3
41.880180784,-87.694657201,0,BATTERY,1,0,1,6
41.759538642,-87.605423219,1,NARCOTICS,2,0,3,4
41.938911911,-87.795723934,0,MOTOR VEHICLE THEFT,3,0,4,5
41.815221883,-87.72199049,0,THEFT,7,0,0,3
41.967007592,-87.727991211,0,OTHER OFFENSE,4,0,1,2
41.801709383,-87.596697686,0,CRIMINAL DAMAGE,2,0,3,3
